# nh np err sqrt(err) sqrt(err/N)
0.100000 0.900000 6.050013384399e-03 7.778183196865e-02 1.004159132840e-02
0.116667 0.883333 1.154749235603e-03 3.398160142788e-02 4.387005880254e-03
0.183333 0.816667 5.933191735394e-03 7.702721425181e-02 9.944170600067e-03
0.200000 0.800000 2.115337622797e-03 4.599279968427e-02 5.937644907421e-03
0.216667 0.783333 1.738434554397e-03 4.169453866392e-02 5.382741795773e-03
0.250000 0.750000 1.495546018603e-03 3.867229006153e-02 4.992571178933e-03
0.283333 0.716667 1.756788918996e-03 4.191406588481e-02 5.411082638124e-03
0.333333 0.666667 1.820667601791e-03 4.266928171168e-02 5.508580582133e-03
0.416667 0.583333 1.051319943002e-03 3.242406425793e-02 4.185928696244e-03
0.666667 0.333333 2.024839322132e-04 1.422968489508e-02 1.837044420681e-03
0.333333 0.666667 1.820667601791e-03 4.266928171168e-02 5.508580582133e-03
0.416667 0.583333 1.051319943002e-03 3.242406425793e-02 4.185928696244e-03
0.666667 0.333333 2.024839322132e-04 1.422968489508e-02 1.837044420681e-03
0.416667 0.583333 1.051319943002e-03 3.242406425793e-02 4.185928696244e-03
